event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MLI31681,12-Jan-24,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,Dozo Communal Militia (Mali),,4,Civilians (Mali),,7,47,Civilian targeting,466,Western Africa,Mali,Segou,Macina,Souleye,Souleye,13.8771,-5.2433,2,Whatsapp,New media,"On 12 January 2024, Dozo militiamen abducted several persons and seized livestock near Souleye (Macina, Segou).",0,,1705371871
MLI31697,12-Jan-24,2024,1,Strategic developments,Strategic developments,Arrests,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Government of Mali (2021-); Bellah Ethnic Group (Mali); Labor Group (Mali),7,17,,466,Western Africa,Mali,Segou,Niono,Mariko,Niebebougou,14.426,-6.1063,1,Whatsapp,New media,"On 12 January 2024, FAMa and Wagner forces arrested four civilians including the mayor of Mariko commune, a shopkeeper, and two members from the Bellah community in Niebebougou (Niono, Segou).",0,,1705371872
MLI31700,12-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Dozo Communal Militia (Mali),,4,Civilians (Mali),,7,47,Civilian targeting,466,Western Africa,Mali,Segou,Macina,Sana,Saye,13.8286,-4.9953,2,Whatsapp,New media,"On 12 January 2024, Dozo militia wounded one person in Ouro Aly, location coded to Saye (Macina, Segou).",0,,1705371872
MLI31690,11-Jan-24,2024,1,Political violence,Battles,Armed clash,Islamic State (Sahel),,2,GATIA: Imghad Tuareg and Allies Self-Defense Group,,3,23,,466,Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,2,Undisclosed Source,Local partner-Other,"On 11 January 2024, IS Sahel militants clashed with GATIA (Ag Gamou faction) militiamen between Gao and Intahaka (Gao, Gao). Seven GATIA militiamen were killed and one was injured.",7,,1705371872
MLI31701,11-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Islamic State (Sahel),,2,Civilians (Mali),Songhai Ethnic Group (Mali),7,27,Civilian targeting,466,Western Africa,Mali,Gao,Gao,Gabero,Borno,16.0392,0.0695,1,Studio Tamani; Undisclosed Source,Local partner-Other,"On 11 January 2024, IS Sahel militants killed a Songhai civilian in the village of Borno (Gao, Gao). The militants also seized goods in the village.",1,,1705371872
MLI31718,11-Jan-24,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Gao,Gao,Gounzoureye,Tacharane,16.1515,0.0708,1,Undisclosed Source,Local partner-Other,"Looting: On 11 January 2024, IS Sahel militants seized livestock in the village of Tacharane (Gao, Gao).",0,,1705371872
MLI31723,11-Jan-24,2024,1,Strategic developments,Strategic developments,Other,Islamic State (Sahel),,2,,,0,20,,466,Western Africa,Mali,Menaka,Menaka,Menaka,Menaka,15.9182,2.4022,2,Undisclosed Source,Local partner-Other,"Non-violent activity: On 11 January 2024, IS Sahel militants began enforcing a blockade on the town of Menaka (Menaka, Menaka).",0,,1705371872
MLI31729,11-Jan-24,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Wagner Group,1,12,,466,Western Africa,Mali,Kidal,Tessalit,Tessalit,Amachach,20.2581,0.9904,1,Al Zallaqa,New media,"On 11 January 2024, JNIM claimed to have fired a barrage of Grad rockets against the FAMa and Wagner base in Amachach (Tessalit, Kidal). Casualties unknown.",0,,1705371872
MLI31683,10-Jan-24,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,Islamic State (Sahel),,2,Civilians (Mali),Labor Group (Mali),7,27,Civilian targeting,466,Western Africa,Mali,Gao,Ansongo,Ouattagouna,Fafa,15.3217,0.7464,2,Undisclosed Source,Local partner-Other,"On 10 January 2024, IS Sahel militants abducted two drivers of a transport company near Fafa (Ansongo, Gao).",0,,1705371871
MLI31698,10-Jan-24,2024,1,Strategic developments,Strategic developments,Arrests,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),,7,17,,466,Western Africa,Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,Twitter,New media,"On 10 January 2024, FAMa forces and Wagner mercenaries arrested dozens of civilians in the town of Timbuktu (Tombouctou, Tombouctou). FAMa and Wagner also seized three vehicles and several motorcycles.",0,,1705371872
